E,E_ana,L,L_ana,N,N_ana,a_final,a_final_ana,a_initial,a_initial_ana,conservation,conservation_ana,deltaz,deltaz_ana,dt,iterations,method,program_time,skewness,skewness_ana,stdev,stdev_ana,time_ana
150.0,150.0,250.0,250.0,2048.0,2048.0,0.9999999999970504,1.0000000000000002,1.0,1.0,99.99999999970504,100.00000000000003,5.0,5.0,5e-16,3576.0,cn,35.093636989593506,-0.011057607896577335,-1.6838697655416004e-14,5.355796810701002,5.04047755394952,2.1739867187497403e-14
150.0,150.0,250.0,250.0,4096.0,4096.0,0.9999999999999055,1.0000000000000002,1.0,1.0,99.99999999999055,100.00000000000003,5.0,5.0,5e-19,1133.0,cn,56.10726737976074,0.0003936711577863409,1.683824278014939e-14,5.035679951667896,5.040522942057122,2.1752101562497397e-14
150.0,150.0,250.0,250.0,4096.0,4096.0,0.9999999999999963,1.0000000000000002,1.0,1.0,99.99999999999963,100.00000000000003,5.0,5.0,1e-18,572.0,cn,41.979872941970825,0.000728737033315676,-8.419035525737002e-15,5.03294498766601,5.040540077816176,2.17567187499974e-14
150.0,150.0,250.0,250.0,4096.0,4096.0,0.9999999999999222,1.0000000000000002,1.0,1.0,99.99999999999221,100.00000000000003,5.0,5.0,5e-18,149.0,cn,39.16547226905823,0.005955766593877218,5.892940213258924e-14,5.000044362502001,5.0406497472095095,2.1786246093747395e-14
150.0,150.0,250.0,250.0,4096.0,4096.0,1.000000000000022,1.0000000000000002,1.0,1.0,100.0000000000022,100.00000000000003,5.0,5.0,1e-17,128.0,cn,28.338582754135132,0.0019230288972549433,5.893452793235698e-14,5.063678365753844,5.040503607013433,2.1746890624997402e-14
150.0,150.0,250.0,250.0,4096.0,4096.0,1.0000000000000921,1.0000000000000002,1.0,1.0,100.00000000000921,100.00000000000003,5.0,5.0,5e-17,369.0,cn,38.47508907318115,-0.010660590417582381,0.0,5.328535785273435,5.040630077490399,2.178095312499739e-14
150.0,150.0,250.0,250.0,4096.0,4096.0,1.0000000000002225,1.0000000000000002,1.0,1.0,100.00000000002225,100.00000000000003,5.0,5.0,1e-16,720.0,cn,43.95415639877319,-0.010991366743241849,3.367652245908703e-14,5.348014247445294,5.040521101118262,2.17516054687474e-14
150.0,150.0,400.0,400.0,512.0,512.0,0.727445675411122,0.9864725640110213,1.0,1.0,72.7445675411122,98.64725640110214,5.0,5.0,1e-19,27898.0,cn,36.99004530906677,0.06887072207918085,-0.21569877441897323,2.96831907597411,189.94297294580565,3.5403249609524503e-13
150.0,150.0,400.0,400.0,512.0,512.0,0.7274456754079176,0.9864726494191439,1.0,1.0,72.74456754079176,98.64726494191439,5.0,5.0,5e-19,5582.0,cn,8.29939341545105,0.06888275555999117,-0.21575503066449878,2.9683265196442075,189.94237409926612,3.5403326757962014e-13
150.0,150.0,400.0,400.0,512.0,512.0,0.7274456754080326,0.9864726195786391,1.0,1.0,72.74456754080326,98.6472619578639,5.0,5.0,1e-18,2792.0,cn,4.5994744300842285,0.0690567837347284,-0.2157353765808763,2.9680766121310094,189.94258333324885,3.5403299804837e-13
